id_fecha_resuelto,dia,mes,anio,hora,minutos
1,19,1,2026,9,7
2,19,1,2026,9,14
3,19,1,2026,9,16
4,19,1,2026,10,0
5,19,1,2026,10,1
6,19,1,2026,10,4
7,19,1,2026,10,10
8,19,1,2026,10,39
9,19,1,2026,10,45
10,19,1,2026,10,59
11,19,1,2026,11,6
12,19,1,2026,11,9
13,19,1,2026,11,11
14,19,1,2026,11,17
15,19,1,2026,11,25
16,19,1,2026,11,26
17,19,1,2026,11,29
18,19,1,2026,11,32
19,19,1,2026,11,34
20,19,1,2026,11,39
21,19,1,2026,11,42
22,19,1,2026,11,43
23,19,1,2026,11,46
24,19,1,2026,11,48
25,19,1,2026,11,50
26,19,1,2026,11,59
27,19,1,2026,13,14
28,19,1,2026,13,31
29,19,1,2026,13,33
30,19,1,2026,13,34
31,19,1,2026,13,35
32,19,1,2026,13,41
33,19,1,2026,13,42
34,19,1,2026,13,43
35,19,1,2026,13,55
36,19,1,2026,14,6
37,19,1,2026,14,12
38,19,1,2026,14,57
39,19,1,2026,14,59
40,19,1,2026,16,39
41,20,1,2026,7,31
42,20,1,2026,7,32
43,20,1,2026,7,36
44,20,1,2026,8,0
45,20,1,2026,9,47
46,20,1,2026,9,52
47,20,1,2026,13,25
48,20,1,2026,14,4
49,20,1,2026,14,40
50,20,1,2026,15,57
51,20,1,2026,16,21
52,21,1,2026,7,45
53,21,1,2026,7,46
54,21,1,2026,7,48
55,21,1,2026,7,50
56,21,1,2026,7,51
57,21,1,2026,8,53
58,21,1,2026,9,46
59,21,1,2026,11,27
60,21,1,2026,13,11
61,21,1,2026,13,12
62,21,1,2026,15,6
63,21,1,2026,16,37
64,22,1,2026,11,7
65,22,1,2026,11,21
66,22,1,2026,11,25
67,22,1,2026,11,29
68,22,1,2026,11,31
69,22,1,2026,11,41
70,22,1,2026,11,57
71,22,1,2026,16,33
72,22,1,2026,16,34
73,22,1,2026,16,43
74,23,1,2026,7,56
75,23,1,2026,8,55
76,23,1,2026,8,57
77,23,1,2026,8,59
78,23,1,2026,10,22
79,23,1,2026,10,24
80,23,1,2026,10,28
81,23,1,2026,10,35
82,23,1,2026,13,55
83,23,1,2026,14,46
84,23,1,2026,16,32
85,23,1,2026,16,33
86,26,1,2026,7,47
87,26,1,2026,8,13
88,26,1,2026,8,40
89,26,1,2026,8,41
90,26,1,2026,8,46
91,26,1,2026,9,18
92,26,1,2026,9,41
93,26,1,2026,9,44
94,26,1,2026,9,56
95,26,1,2026,10,1
96,26,1,2026,10,8
97,26,1,2026,11,1
98,26,1,2026,11,53
99,26,1,2026,13,22
100,26,1,2026,13,40
101,26,1,2026,14,2
102,26,1,2026,14,40
103,26,1,2026,16,6
104,27,1,2026,9,34
105,27,1,2026,9,38
106,27,1,2026,13,10
107,27,1,2026,13,21
108,27,1,2026,13,22
109,27,1,2026,13,23
110,27,1,2026,13,32
111,27,1,2026,13,35
112,27,1,2026,14,5
113,27,1,2026,14,24
114,27,1,2026,14,46
115,27,1,2026,14,54
116,27,1,2026,14,57
117,27,1,2026,15,46
118,27,1,2026,15,53
119,27,1,2026,16,7
120,27,1,2026,16,9
121,28,1,2026,7,21
122,28,1,2026,7,25
123,28,1,2026,9,46
124,28,1,2026,9,52
125,28,1,2026,10,25
126,28,1,2026,11,43
127,28,1,2026,13,36
128,28,1,2026,15,14
129,28,1,2026,15,54
130,28,1,2026,15,56
131,29,1,2026,8,16
132,29,1,2026,9,9
133,29,1,2026,9,45
134,29,1,2026,9,46
135,29,1,2026,11,23
136,29,1,2026,11,27
137,29,1,2026,11,44
138,29,1,2026,13,12
139,29,1,2026,13,18
140,29,1,2026,13,58
141,29,1,2026,14,10
142,29,1,2026,14,43
143,29,1,2026,14,47
144,29,1,2026,15,52
145,30,1,2026,8,51
146,30,1,2026,8,53
147,30,1,2026,8,59
148,30,1,2026,9,0
149,30,1,2026,9,45
150,30,1,2026,10,11
151,30,1,2026,11,20
152,30,1,2026,11,30
153,30,1,2026,11,43
154,30,1,2026,11,54
155,30,1,2026,13,16
156,30,1,2026,16,11
157,2,2,2026,8,1
158,2,2,2026,8,3
159,2,2,2026,9,16
160,2,2,2026,11,27
161,2,2,2026,11,37
162,2,2,2026,13,20
163,2,2,2026,13,25
164,2,2,2026,13,39
165,2,2,2026,14,3
166,2,2,2026,16,0
167,2,2,2026,16,3
168,2,2,2026,16,4
169,2,2,2026,16,5
170,2,2,2026,16,6
171,2,2,2026,16,33
172,3,2,2026,7,46
173,3,2,2026,8,50
174,3,2,2026,9,37
175,3,2,2026,9,44
176,3,2,2026,10,57
177,3,2,2026,11,51
178,3,2,2026,13,13
179,3,2,2026,13,54
180,3,2,2026,13,56
181,3,2,2026,14,49
182,3,2,2026,15,3
183,3,2,2026,16,5
184,3,2,2026,16,19
185,4,2,2026,7,36
186,4,2,2026,8,34
187,4,2,2026,9,6
188,4,2,2026,9,18
189,4,2,2026,10,4
190,4,2,2026,12,6
191,4,2,2026,14,7
192,4,2,2026,14,8
193,4,2,2026,14,10
194,4,2,2026,14,20
195,4,2,2026,14,24
196,4,2,2026,14,39
197,4,2,2026,15,8
198,4,2,2026,15,41
199,5,2,2026,7,36
200,5,2,2026,8,4
201,5,2,2026,9,43
202,5,2,2026,10,21
203,5,2,2026,11,29
204,5,2,2026,11,36
205,5,2,2026,11,38
206,5,2,2026,13,15
207,5,2,2026,13,53
208,5,2,2026,14,3
209,5,2,2026,15,20
210,5,2,2026,15,23
211,5,2,2026,15,30
212,5,2,2026,16,12
213,5,2,2026,16,15
214,5,2,2026,16,19
215,5,2,2026,16,22
216,6,2,2026,9,24
217,6,2,2026,10,36
218,6,2,2026,10,46
219,6,2,2026,10,51
220,6,2,2026,13,57
221,6,2,2026,13,59
222,6,2,2026,14,29
223,6,2,2026,16,30
224,9,2,2026,7,59
225,9,2,2026,8,3
226,9,2,2026,9,6
227,9,2,2026,9,8
228,9,2,2026,9,9
229,9,2,2026,9,11
230,9,2,2026,9,41
231,9,2,2026,10,55
232,9,2,2026,10,57
233,9,2,2026,13,34
234,9,2,2026,13,35
235,9,2,2026,13,37
236,9,2,2026,14,51
237,9,2,2026,14,52
238,9,2,2026,14,58
239,9,2,2026,15,0
240,9,2,2026,15,6
241,9,2,2026,15,23
242,9,2,2026,15,29
243,9,2,2026,15,49
244,9,2,2026,16,14
245,9,2,2026,16,19
246,9,2,2026,16,24
247,9,2,2026,16,25
248,10,2,2026,7,39
249,10,2,2026,7,41
250,10,2,2026,7,42
251,10,2,2026,7,46
252,10,2,2026,8,0
253,10,2,2026,8,24
254,10,2,2026,8,38
255,10,2,2026,8,53
256,10,2,2026,9,22
257,10,2,2026,9,34
258,10,2,2026,9,45
259,10,2,2026,10,9
260,10,2,2026,10,13
261,10,2,2026,11,3
262,10,2,2026,11,12
263,10,2,2026,11,40
264,10,2,2026,11,47
265,10,2,2026,13,27
266,10,2,2026,13,36
267,10,2,2026,14,55
268,10,2,2026,14,57
269,10,2,2026,15,0
270,10,2,2026,15,2
271,10,2,2026,15,4
272,10,2,2026,15,12
273,10,2,2026,15,17
274,10,2,2026,15,36
275,10,2,2026,15,37
276,10,2,2026,15,38
277,10,2,2026,16,4
278,10,2,2026,16,8
279,11,2,2026,7,37
280,11,2,2026,7,38
281,11,2,2026,7,39
282,11,2,2026,7,57
283,11,2,2026,8,1
284,11,2,2026,8,2
285,11,2,2026,9,40
286,11,2,2026,9,42
287,11,2,2026,9,59
288,11,2,2026,10,1
289,11,2,2026,10,17
290,11,2,2026,11,25
291,11,2,2026,11,38
292,11,2,2026,11,40
293,11,2,2026,13,1
294,11,2,2026,13,2
295,11,2,2026,13,27
296,11,2,2026,13,45
297,11,2,2026,13,47
298,11,2,2026,15,59
299,11,2,2026,16,10
300,11,2,2026,16,13
301,12,2,2026,7,50
302,12,2,2026,7,55
303,12,2,2026,8,1
304,12,2,2026,8,14
305,12,2,2026,8,54
306,12,2,2026,8,58
307,12,2,2026,9,15
308,12,2,2026,9,36
309,12,2,2026,10,1
310,12,2,2026,10,17
311,12,2,2026,10,25
312,12,2,2026,10,56
313,12,2,2026,10,58
314,12,2,2026,13,8
315,12,2,2026,13,16
316,12,2,2026,13,41
317,12,2,2026,14,27
318,12,2,2026,14,36
319,12,2,2026,14,37
320,12,2,2026,14,45
321,12,2,2026,15,11
322,12,2,2026,16,4
323,13,2,2026,7,59
324,13,2,2026,8,44
325,13,2,2026,8,47
326,13,2,2026,8,54
327,13,2,2026,9,1
328,13,2,2026,9,8
329,13,2,2026,9,14
330,13,2,2026,9,17
331,13,2,2026,9,20
332,13,2,2026,9,25
333,13,2,2026,9,29
334,13,2,2026,9,31
335,13,2,2026,10,5
336,13,2,2026,10,18
337,13,2,2026,13,23
338,13,2,2026,13,24
339,13,2,2026,13,28
340,13,2,2026,13,35
341,13,2,2026,13,37
342,13,2,2026,13,39
343,13,2,2026,13,41
344,13,2,2026,13,55
345,13,2,2026,14,0
346,13,2,2026,14,11
347,13,2,2026,14,16
348,13,2,2026,14,34
349,13,2,2026,14,42
350,13,2,2026,14,58
351,13,2,2026,15,50
352,13,2,2026,15,58
353,13,2,2026,16,10
354,13,2,2026,16,20
355,13,2,2026,16,30
356,13,2,2026,16,36
357,16,2,2026,7,44
358,16,2,2026,7,45
359,16,2,2026,7,53
360,16,2,2026,7,58
361,16,2,2026,8,10
362,16,2,2026,8,14
363,16,2,2026,8,23
364,16,2,2026,9,1
365,16,2,2026,9,17
366,16,2,2026,9,50
367,16,2,2026,9,52
368,16,2,2026,9,55
369,16,2,2026,10,5
370,16,2,2026,10,27
371,16,2,2026,10,34
372,16,2,2026,10,36
373,16,2,2026,10,38
374,16,2,2026,10,41
375,16,2,2026,10,42
376,16,2,2026,10,55
377,16,2,2026,10,57
378,16,2,2026,11,0
379,16,2,2026,11,3
380,16,2,2026,11,4
381,16,2,2026,11,6
382,16,2,2026,11,9
383,16,2,2026,11,22
384,16,2,2026,11,25
385,16,2,2026,11,26
386,16,2,2026,11,40
387,16,2,2026,11,48
388,16,2,2026,11,53
389,16,2,2026,12,0
390,16,2,2026,13,10
391,16,2,2026,13,12
392,16,2,2026,13,14
393,16,2,2026,13,21
394,16,2,2026,13,25
395,16,2,2026,13,27
396,16,2,2026,13,29
397,16,2,2026,13,30
398,16,2,2026,13,32
399,16,2,2026,13,33
400,16,2,2026,13,38
401,16,2,2026,13,58
402,16,2,2026,14,4
403,16,2,2026,14,16
404,16,2,2026,14,33
405,16,2,2026,14,42
406,16,2,2026,14,49
407,16,2,2026,14,52
408,16,2,2026,15,24
409,16,2,2026,15,31
410,16,2,2026,15,40
411,16,2,2026,16,12
412,16,2,2026,16,15
413,16,2,2026,16,26
414,16,2,2026,16,29
415,17,2,2026,7,33
416,17,2,2026,7,35
417,17,2,2026,7,37
418,17,2,2026,7,42
419,17,2,2026,8,6
420,17,2,2026,8,20
421,17,2,2026,8,46
422,17,2,2026,9,7
423,17,2,2026,9,10
424,17,2,2026,9,11
425,17,2,2026,9,12
426,17,2,2026,9,15
427,17,2,2026,9,17
428,17,2,2026,9,21
429,17,2,2026,9,27
430,17,2,2026,9,32
431,17,2,2026,9,34
432,17,2,2026,9,37
433,17,2,2026,9,44
434,17,2,2026,9,46
435,17,2,2026,9,47
436,17,2,2026,9,49
437,17,2,2026,9,50
438,17,2,2026,9,51
439,17,2,2026,10,18
440,17,2,2026,10,21
441,17,2,2026,11,21
442,17,2,2026,11,34
443,17,2,2026,11,41
444,17,2,2026,11,47
445,17,2,2026,11,50
446,17,2,2026,11,53
447,17,2,2026,13,8
448,17,2,2026,13,37
